Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	
1591	3#3	0.03948966786265373#0.03948966786265373	0.7454563792926944#0.7454563792926944	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	17.0#17.0	131.28770446777344#131.28770446777344	0#0	1#1	0#0	0#741	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	104.json	
1706	3#3#3	0.6925826668739319#0.6925826668739319#0.6925826668739319	0.8361411953167703#0.8361411953167703#0.8361411953167703	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	0#0#0	17.0#17.0#17.0	131.28770446777344#131.28770446777344#131.28770446777344	0#0#0	1#1#1	0#0#0	0#3#856	0#0#0	0#0#0	0#0#0	0#0#0	0#6#0	0#0#0	0#1#0	0#1#0	9640.json	
782	3	0.850714921951294	0.8640440209689771	0	0	0	1	3.77	0	0	14.0	132.4454345703125	0	0	0	0	0	0	0	0	0	0	0	0	761.json	
2474	3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3	0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018	0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0	131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#7#14#14#28#75#75#75#75#75#75#93#93#93#212#1624	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#7#0#0#0#1#39#1#5#0#50#74#0#34#0#0	0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#1#0#0#1#0#0#0#0#0#0#0#0#0#0#0	0#1#0#0#1#0#0#0#0#0#0#0#1#1#0#0	2260.json	
1620	23#16#17#16#16#16#14	1.3433326967060566E-4#8.281153859570622E-4#2.3684746702201664E-4#8.281153859570622E-4#7.954242173582315E-4#7.954242173582315E-4#7.926012622192502E-4	5.869837834675963E-10#6.329992070412015E-7#1.5849149738823452E-7#6.329992070412015E-7#9.790054485052748E-7#9.790054485052748E-7#1.879536705158871E-6	3#1#1#1#1#1#1	2#1#1#1#1#1#1	5#2#2#2#2#2#2	4#3#3#3#3#3#3	11.0#7.86#8.26#7.86#7.86#7.86#5.94	1#1#1#1#1#1#1	19#13#14#13#13#13#12	166.0#121.0#130.0#121.0#118.0#118.0#112.0	83.53239440917969#91.51155090332031#90.12873840332031#91.51155090332031#91.61447143554688#91.61447143554688#94.1341552734375	0#0#0#0#0#0#0	1#1#1#1#1#1#1	6#5#5#5#5#5#5	0#299#316#327#558#770#1264	0#0#2#1#1#0#1	0#7#3#3#2#0#3	0#316#64#64#6#0#58	0#295#60#60#6#0#54	0#2#2#1#314#0#6	0#0#0#0#0#0#0	0#0#1#0#0#0#0	0#0#1#0#0#0#0	4953.json	
2216	3#3#3#3#3#3#3	0.19943326711654663#0.19943326711654663#0.38721925020217896#0.38721925020217896#0.38721925020217896#0.38721925020217896#0.38721925020217896	0.4909605919962177#0.4909605919962177#0.4636398925378616#0.4636398925378616#0.4636398925378616#0.4636398925378616#0.4636398925378616	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	3.77#3.77#3.77#3.77#3.77#3.77#3.77	0#0#0#0#0#0#0	1#1#1#1#1#1#1	23.0#23.0#21.0#21.0#21.0#21.0#21.0	129.2428436279297#129.2428436279297#129.7158966064453#129.7158966064453#129.7158966064453#129.7158966064453#129.7158966064453	0#0#0#0#0#0#0	1#1#1#1#1#1#1	0#0#0#0#0#0#0	0#29#372#1161#1365#1479#1479	0#0#1#0#0#0#0	0#0#2#0#0#0#0	0#0#38#0#0#0#0	0#0#38#0#0#0#0	0#0#4#1#0#2#3	0#0#0#0#0#0#0	0#0#0#1#0#0#0	0#0#0#1#0#0#0	7289.json	
1706	10#10#10	0.04684102535247803#0.04684102535247803#0.04684102535247803	3.987472119366346E-6#3.987472119366346E-6#3.987472119366346E-6	2#2#2	1#1#1	3#3#3	2#2#2	5.6#5.6#5.6	1#1#1	4#4#4	101.0#101.0#101.0	100.54595184326172#100.54595184326172#100.54595184326172	0#0#0	0#0#0	4#4#4	0#3#856	0#0#0	0#0#0	0#0#0	0#0#0	0#6#0	0#0#0	0#1#0	0#1#0	9801.json	
347	15#13	0.09402300417423248#0.09653893858194351	0.017813210551421276#0.011985816157619933	1#1	1#1	2#2	3#3	7.62#5.29	2#1	5#5	70.0#68.0	95.84558868408203#98.35713195800781	0#0	2#2	2#2	0#54	0#8	0#18	0#73	0#92	0#60	0#0	0#0	0#0	6599.json	
715	3#3	0.8268294930458069#0.3962060213088989	0.762585929127287#0.7216394401318962	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	18.0#18.0	130.99049377441406#130.85629272460938	0#0	1#0	0#0	0#254	0#2	0#4	0#35	0#35	0#18	0#0	0#0	0#0	3678.json	
2340	3#3#3	0.5201929807662964#0.5201929807662964#0.5201929807662964	0.8171186371358448#0.8171186371358448#0.8171186371358448	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	0#0#0	17.0#17.0#17.0	131.28770446777344#131.28770446777344#131.28770446777344	0#0#0	1#1#1	0#0#0	0#250#1490	0#0#0	0#0#0	0#0#0	0#0#0	0#30#0	0#0#0	0#1#0	0#1#0	2810.json	
